,CameraID,Latitude,Longitude,Dir1Distance,Dir2Distance,Dir1Lanes,Dir2Lanes,DirCoords
eg:,1000,1,1,100,100,2,2,"[[(63, 35), (80, 33), (82, 33), (150, 55), (105, 64), (56, 39)], [(91, 89), (62, 166), (184, 152), (114, 108), (103, 105)]]"
1,1001,1.29531332,103.871146,,,,,
2,1002,1.319541067,103.8785627,,,,,
3,1003,1.323957439,103.8728576,,,,,
4,1004,1.319535712,103.8750668,,,,,
5,1005,1.363519886,103.905394,,,,,
6,1006,1.357098686,103.902042,,,,,
7,1501,1.274143944,103.8513168,,,,,
8,1502,1.271350907,103.8618284,,,,,
9,1503,1.270664087,103.8569779,,,,,
10,1504,1.294098914,103.8760562,,,,,
11,1505,1.275297715,103.8663904,,,,,
12,1701,1.323604823,103.8587802,,,,,
13,1702,1.34355015,103.8601984,,,,,
14,1703,1.328147222,103.8622033,,,,,
15,1704,1.285693989,103.8375245,,,,,
16,1705,1.375925022,103.8587986,,,,,
17,1706,1.38861,103.85806,,,,,
18,1707,1.280365843,103.8304511,,,,,
19,1709,1.313842317,103.845603,,,,,
20,1711,1.35296,103.85719,,,,,
21,2701,1.447023728,103.7716543,,,,,
22,2702,1.445554109,103.7683397,,,,,
23,2703,1.350477908,103.7910336,75,100,3,5,"[[(2, 450), (351, 271), (589, 171), (662, 136), (716, 136), (774, 155), (694, 313), (483, 582), (180, 1047), (2, 853)], [(765, 122), (875, 118), (1031, 159), (1193, 252), (1727, 572), (1911, 727), (1188, 1041), (179, 1038), (505, 553), (763, 199), (769, 131)]]"
24,2704,1.429588536,103.769311,100,100,6,3,"[[(284, 122), (949, 139), (1874, 1030), (897, 1040), (3, 1046), (3, 354)], [(950, 159), (1154, 152), (1911, 527), (1908, 1047), (1214, 401)]]"
25,2705,1.36728572,103.7794698,200,50,3,3,"[[(553, 81), (640, 66), (1029, 353), (1911, 942), (1436, 1040), (368, 1033), (468, 383)], [(938, 220), (1167, 155), (1911, 310), (1902, 886), (1282, 461)]]"
26,2706,1.414142,103.771168,200,200,4,4,"[[(747, 360), (820, 360), (1056, 523), (1664, 924), (1358, 1014), (633, 1039), (722, 549)], [(827, 363), (1819, 1025), (1911, 706), (1273, 498), (899, 354)]]"
27,2707,1.3983,103.774247,200,200,4,4,"[[(596, 156), (871, 72), (1057, 70), (1208, 111), (929, 279), (606, 474), (256, 646), (6, 827), (2, 500)], [(1254, 81), (1515, 108), (1644, 1048), (864, 1044), (5, 1048), (9, 765), (884, 281), (1086, 168)]]"
28,2708,1.3865,103.7747,200,75,4,3,"[[(316, 2), (573, 1), (1093, 349), (1911, 976), (1911, 1048), (1016, 1048), (329, 1048), (307, 386)], [(750, 132), (884, 95), (1911, 627), (1909, 960), (1047, 323)]]"
29,3702,1.33831,103.98032,200,75,5,2,"[[(544, 45), (655, 48), (937, 238), (1911, 1018), (1911, 1048), (943, 1045), (11, 1041), (5, 675), (378, 262)], [(858, 119), (1054, 69), (1372, 179), (1651, 286), (1911, 383), (1902, 771), (1301, 417), (1105, 284)]]"
30,3704,1.295855016,103.8803147,200,200,4,4,"[[(5, 495), (443, 327), (771, 207), (960, 136), (1058, 152), (1105, 172), (732, 396), (235, 721), (6, 852), (8, 558)], [(1, 963), (862, 320), (1137, 164), (1293, 174), (1270, 535), (1270, 1048), (629, 1048)]]"
31,3705,1.32743,103.97383,200,100,3,2,"[[(478, 99), (170, 160), (321, 598), (471, 1048), (1351, 1046), (1180, 1044), (1908, 1046), (1911, 681), (971, 281), (483, 112)], [(560, 126), (831, 87), (1911, 388), (1888, 667), (945, 270)]]"
32,3793,1.309330837,103.9350504,200,75,3,3,"[[(2, 449), (206, 1048), (787, 1048), (1438, 1048), (741, 448), (336, 51), (131, 308)], [(679, 224), (862, 177), (1911, 634), (1908, 1007), (714, 260)]]"
33,3795,1.301451452,103.9105963,200,,3,,"[[(882, 98), (1134, 91), (1369, 374), (1911, 954), (1911, 1048), (1130, 1048), (389, 1044), (734, 387)], []]"
34,3796,1.297512569,103.8983019,200,50,4,4,"[[(684, 225), (801, 233), (1042, 513), (1556, 1048), (891, 1048), (202, 1044), (569, 434)], [(1029, 444), (1274, 376), (1911, 673), (1911, 1048), (1607, 1034), (1140, 598)]]"
35,3797,1.295657333,103.885283,200,200,4,4,"[[(130, 105), (206, 95), (417, 230), (964, 599), (1715, 1048), (1003, 1048), (78, 1048), (101, 417)], [(256, 137), (387, 101), (740, 195), (1424, 388), (1911, 545), (1911, 1048), (1709, 1039), (666, 378)]]"
36,3798,1.29158484,103.8615987,200,200,4,4,"[[(745, 66), (493, 187), (415, 559), (407, 1048), (925, 1040), (1591, 1034), (925, 425), (733, 188), (794, 87)], [(710, 125), (949, 109), (1911, 598), (1911, 1048), (1613, 1048), (893, 383)]]"
37,4701,1.2871,103.79633,200,100,4,4,"[[(701, 273), (871, 276), (1113, 426), (1911, 787), (1910, 1048), (1006, 1048), (5, 1045), (9, 802), (453, 400)], [(877, 297), (1064, 259), (1911, 463), (1906, 814), (1110, 426)]]"
38,4702,1.27237,103.8324,200,200,2,2,"[[(592, 37), (2, 401), (67, 1048), (650, 1048), (1532, 1040), (721, 374), (610, 186), (668, 88)], [(683, 56), (616, 204), (1034, 599), (1650, 1048), (1911, 1048), (1911, 673), (1025, 301), (765, 56)]]"
39,4703,1.348697862,103.6350413,200,200,3,3,"[[(4, 71), (165, 31), (659, 202), (1282, 409), (1667, 536), (1911, 646), (1911, 1048), (957, 1048), (8, 861), (566, 673), (766, 448), (319, 237)], [(144, 11), (629, 1), (1911, 297), (1911, 674), (964, 313), (628, 199)]]"
40,4704,1.27877,103.82375,200,200,2,2,"[[(9, 7), (996, 12), (905, 1048), (492, 1041), (4, 1036), (2, 468)], [(1098, 11), (1267, 16), (1722, 1044), (1398, 1048), (1034, 1043), (1016, 379)]]"
41,4705,1.32618,103.73028,200,200,4,4,"[[(94, 80), (192, 72), (550, 360), (1221, 807), (1666, 1048), (870, 1048), (156, 1037), (87, 458)], [(174, 91), (309, 81), (950, 368), (1911, 853), (1911, 1048), (1658, 1048), (713, 472), (362, 236)]]"
42,4706,1.29792,103.78205,200,75,4,3,"[[(205, 1047), (695, 385), (956, 85), (1114, 80), (1297, 253), (1911, 660), (1911, 1048), (1029, 1048)], [(1174, 150), (1472, 121), (1911, 292), (1910, 670), (1403, 309)]]"
43,4707,1.333446481,103.6527008,200,100,3,2,"[[(49, 1048), (534, 440), (798, 199), (904, 203), (1137, 424), (1770, 1048), (924, 1042)], [(999, 281), (1190, 277), (1911, 546), (1911, 890), (1911, 1048), (1723, 1048), (1134, 467)]]"
44,4708,1.29939,103.7799,200,100,4,3,"[[(67, 1048), (1064, 1048), (1911, 1033), (1911, 902), (971, 324), (844, 323), (574, 557)], [(998, 342), (1141, 320), (1911, 548), (1906, 846), (1197, 447)]]"
45,4709,1.312019,103.763002,,,,,
46,4710,1.32153,103.75273,,,,,
47,4712,1.341244001,103.6439134,,,,,
48,4713,1.347645829,103.6366955,,,,,
49,4714,1.31023,103.76438,,,,,
50,4716,1.32227,103.67453,,,,,
51,4798,1.259999997,103.8236111,,,,,
52,4799,1.260277774,103.8238889,,,,,
53,5794,1.3309693,103.9168616,,,,,
54,5795,1.326024822,103.905625,,,,,
55,5797,1.322875288,103.8910793,,,,,
56,5798,1.320360781,103.8771741,,,,,
57,5799,1.328171608,103.8685191,,,,,
58,6701,1.329334,103.858222,,,,,
59,6703,1.328899,103.84121,,,,,
60,6704,1.326574036,103.8268573,,,,,
61,6705,1.332124,103.81768,,,,,
62,6706,1.349428893,103.7952799,,,,,
63,6708,1.345996,103.69016,,,,,
64,6710,1.344205,103.78577,,,,,
65,6711,1.33771,103.977827,,,,,
66,6712,1.332691,103.770278,,,,,
67,6713,1.340298,103.945652,,,,,
68,6714,1.361742,103.703341,,,,,
69,6715,1.356299,103.716071,,,,,
70,6716,1.322893,103.6635051,,,,,
71,7791,1.354245,103.963782,,,,,
72,7793,1.37704704,103.9294698,,,,,
73,7794,1.37988658,103.9200917,,,,,
74,7795,1.38432741,103.915857,,,,,
75,7796,1.39559294,103.9051571,,,,,
76,7797,1.40002575,103.8570253,,,,,
77,7798,1.39748842,103.8540047,,,,,
78,8701,1.38647,103.74143,,,,,
79,8702,1.39059,103.7717,,,,,
80,8704,1.3899,103.74843,,,,,
81,8706,1.3664,103.70899,,,,,
82,9701,1.39466333,103.834746,,,,,
83,9702,1.39474081,103.8179709,,,,,
84,9703,1.422857,103.773005,,,,,
85,9704,1.42214311,103.7954206,,,,,
86,9705,1.42627712,103.7871664,,,,,
87,9706,1.41270056,103.8064271,,,,,
