CameraID,direction1,direction2
1001,KPE (TPE),ECP (CHANGI)
1002,KPE (ECP),-
1003,KPE,PIE (CHANGI)
1004,PIE (TUAS),KPE (ECP)
1005,KPE (ECP),KPE (TPE)
1006,KPE (ECP),KPE (TPE)
1501,MCP (ECP),-
1502,MCP (AYE),-
1503,MCE (AYE),MCE (ECP)
1504,MCE (AYE),-
1505,MCE (ECP),-
1701,CITY,SLE
1702,SLE,CITY
1703,SLE,AYE
1704,SLE,AYE
1705,SLE,CTE
1706,SLE,AYE
1707,AYE,SLE
1709,CITY,SLE
1711,CITY,SLE
2701,JOHOR,WOODLAND
2702,BKE,CAUSEWAY
2703,WOODLAND,PIE 
2704,WOOLAND,-
2705,PIE,WOODLAND
2706,WOODLAND,PIE
2707,WOODLAND,PIE
2708,WOODLAND,PIE
3702,AIRPORT,CITY
3705,CITY,AIRPORT
3793,CHANGI,CITY
3795,AYE/CITY,-
3796,CHANGI,AYE/CITY
3797,CITY,CHANGI
3798,CHANGI,CITY
4701,CITY,JURONG
4702,JURONG,CHANGI
4703,JOHOR,TUAS
4704,MCE,CTE
4705,CITY,JURONG
4706,JURONG,CITY
4707,CITY,JOHOR
4708,CITY,JURONG
4709,JURONG,CITY
4710,JURONG,CITY
4712,JOHOR,CITY
4713,AYE,JOHOR
4714,JURONG,CITY
4716,JURONG,CITY
4798,TELOK BLANGAH,SENTOSA
4799,SENTOSA,TELOK BLANGAH
5794,JURONG,CHANGI
5795,CHANGI,JURONG
5797,JURONG,CHANGI
5798,JURONG,CHANGI
5799,JURONG,CHANGI
6701,CHANGI,JURONG
6703,JURONG,CHANGI
6704,JURONG,CHANGI
6705,JURONG,CHANGI
6706,CHANGI,JURONG
6708,CHANGI,TUAS
6710,JURONG,CHANGI
6711,JURONG,CITY
6712,JURONG,CHANGI
6713,JURONG,CHANGI
6714,KJE,-
6715,TUAS,CHANGI
6716,CHANGI,AYE
7791,SLE,ECP/PIE
7793,PIE,-
7794,PIE,KPE
7795,SLE,PIE/KPE
7796,SLE,-
7797,PIE,SLE
7798,BKE,CTE/TPE
8701,PIE,BKE
8702,PIE,BKE
8704,BKE,-
8706,BKE,PIE
9701,TPE,BKE
9702,TPE,BKE
9703,TPE,BKE
9704,TPE,BKE
9705,BKE,TPE
9706,BKE,TPE
